region,season,variable,value
hyper,dry,bd11 ,0.1492
hyper,dry,bd21 ,0.1899
hyper,dry,bd31 ,0.086
hyper,dry,bd41 ,0.0812
hyper,dry,bd12 ,0.04
hyper,dry,bd22 ,0.197
hyper,dry,bd32 ,0.1701
hyper,dry,bd42 ,0.076
hyper,dry,bd13 ,0.0073
hyper,dry,bd23 ,0.0105
hyper,dry,bd33 ,0.056
hyper,dry,bd43 ,0.0565
hyper,dry,bd14 ,0.0106
hyper,dry,bd24 ,0.0376
hyper,dry,bd34 ,0.1842
hyper,dry,bd44 ,0.1155
hyper,rainy,br11 ,0.1154
hyper,rainy,br21 ,0.1311
hyper,rainy,br31 ,0.0114
hyper,rainy,br41 ,0.0508
hyper,rainy,br12 ,0.0812
hyper,rainy,br22 ,0.0674
hyper,rainy,br32 ,0.1029
hyper,rainy,br42 ,0.0416
hyper,rainy,br13 ,0.011
hyper,rainy,br23 ,0.0138
hyper,rainy,br33 ,0.0742
hyper,rainy,br43 ,0.0378
hyper,rainy,br14 ,0.0112
hyper,rainy,br24 ,0.0177
hyper,rainy,br34 ,0.0465
hyper,rainy,br44 ,0.1084
not_hyper,dry,bd11 ,0.1194
not_hyper,dry,bd21 ,0.1519
not_hyper,dry,bd31 ,0.0688
not_hyper,dry,bd41 ,0.065
not_hyper,dry,bd12 ,0.032
not_hyper,dry,bd22 ,0.1576
not_hyper,dry,bd32 ,0.1361
not_hyper,dry,bd42 ,0.0608
not_hyper,dry,bd13 ,0.0058
not_hyper,dry,bd23 ,0.0084
not_hyper,dry,bd33 ,0.0448
not_hyper,dry,bd43 ,0.0452
not_hyper,dry,bd14 ,0.0085
not_hyper,dry,bd24 ,0.0301
not_hyper,dry,bd34 ,0.1474
not_hyper,dry,bd44 ,0.0924
not_hyper,rainy,br11 ,0.0923
not_hyper,rainy,br21 ,0.1049
not_hyper,rainy,br31 ,0.0091
not_hyper,rainy,br41 ,0.0406
not_hyper,rainy,br12 ,0.065
not_hyper,rainy,br22 ,0.0539
not_hyper,rainy,br32 ,0.0823
not_hyper,rainy,br42 ,0.0333
not_hyper,rainy,br13 ,0.0088
not_hyper,rainy,br23 ,0.011
not_hyper,rainy,br33 ,0.0594
not_hyper,rainy,br43 ,0.0302
not_hyper,rainy,br14 ,0.009
not_hyper,rainy,br24 ,0.0142
not_hyper,rainy,br34 ,0.0372
not_hyper,rainy,br44 ,0.0867
